Date_reported,iso_code,Country,WHO_region,Covid_new_hospitalizations_last_7days,Covid_new_icu_admissions_last_7days,Covid_new_hospitalizations_last_28days,Covid_new_icu_admissions_last_28days,YearQuarter
2025-01-12,MLT,MALTA,EUR,4.0,,10.0,1.0,2025Q1
2025-01-12,MUS,MAURITIUS,AFR,12.0,0.0,20.0,0.0,2025Q1
2025-01-12,MEX,MEXICO,AMR,34.0,1.0,55.0,1.0,2025Q1
2025-01-12,NZL,NEW ZEALAND,WPR,112.0,4.0,424.0,18.0,2025Q1
2025-01-12,MKD,NORTH MACEDONIA,EUR,0.0,,1.0,,2025Q1
2025-01-12,PAN,PANAMA,AMR,20.0,2.0,39.0,3.0,2025Q1
2025-01-12,PER,PERU,AMR,175.0,9.0,338.0,53.0,2025Q1
2025-01-12,POL,POLAND,EUR,81.0,1.0,262.0,2.0,2025Q1
2025-01-12,PRT,PORTUGAL,EUR,42.0,4.0,157.0,14.0,2025Q1
2025-01-12,RUS,RUSSIAN FEDERATION,EUR,971.0,,8840.0,,2025Q1
2025-01-12,LCA,SAINT LUCIA,AMR,0.0,0.0,0.0,0.0,2025Q1
2025-01-12,SGP,SINGAPORE,WPR,96.0,4.0,458.0,9.0,2025Q1
2025-01-12,SVK,SLOVAKIA,EUR,15.0,,63.0,1.0,2025Q1
2025-01-12,ESP,SPAIN,EUR,5.0,1.0,18.0,1.0,2025Q1
2025-01-12,SUR,SURINAME,AMR,1.0,0.0,2.0,0.0,2025Q1
2025-01-12,SWE,SWEDEN,EUR,,6.0,,20.0,2025Q1
2025-01-12,GBR,THE UNITED KINGDOM,EUR,560.0,14.0,1129.0,36.0,2025Q1
2025-01-12,TCA,TURKS AND CAICOS ISLANDS,AMR,0.0,0.0,0.0,0.0,2025Q1
2025-01-12,UKR,UKRAINE,EUR,1.0,0.0,1.0,0.0,2025Q1
2025-01-12,USA,UNITED STATES OF AMERICA,AMR,1262.0,,4867.0,,2025Q1
2025-01-12,URY,URUGUAY,AMR,20.0,0.0,94.0,4.0,2025Q1
2025-01-05,ARG,ARGENTINA,AMR,32.0,,151.0,,2025Q1
2025-01-05,BOL,BOLIVIA (PLURINATIONAL STATE OF),AMR,8.0,0.0,8.0,0.0,2025Q1
2025-01-05,BIH,BOSNIA AND HERZEGOVINA,EUR,3.0,0.0,3.0,0.0,2025Q1
2025-01-05,BRA,BRAZIL,AMR,465.0,146.0,2371.0,733.0,2025Q1
2025-01-05,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0,2025Q1
2025-01-05,BRN,BRUNEI DARUSSALAM,WPR,9.0,0.0,38.0,1.0,2025Q1
2025-01-05,CHL,CHILE,AMR,16.0,5.0,142.0,18.0,2025Q1
2025-01-05,COL,COLOMBIA,AMR,20.0,0.0,41.0,0.0,2025Q1
2025-01-05,CRI,COSTA RICA,AMR,4.0,0.0,5.0,0.0,2025Q1
2025-01-05,CZE,CZECHIA,EUR,33.0,3.0,188.0,17.0,2025Q1
2025-01-05,DNK,DENMARK,EUR,122.0,,526.0,,2025Q1
2025-01-05,DMA,DOMINICA,AMR,0.0,0.0,0.0,0.0,2025Q1
2025-01-05,ECU,ECUADOR,AMR,11.0,3.0,64.0,6.0,2025Q1
2025-01-05,EST,ESTONIA,EUR,59.0,9.0,294.0,31.0,2025Q1
2025-01-05,FRA,FRANCE,EUR,25.0,22.0,69.0,65.0,2025Q1
2025-01-05,GRC,GREECE,EUR,538.0,12.0,2099.0,34.0,2025Q1
2025-01-05,GTM,GUATEMALA,AMR,0.0,0.0,0.0,0.0,2025Q1
2025-01-05,GUY,GUYANA,AMR,0.0,0.0,0.0,0.0,2025Q1
2025-01-05,HTI,HAITI,AMR,0.0,0.0,0.0,0.0,2025Q1
2025-01-05,HND,HONDURAS,AMR,0.0,0.0,0.0,0.0,2025Q1
2025-01-05,HUN,HUNGARY,EUR,20.0,2.0,57.0,7.0,2025Q1
2025-01-05,ITA,ITALY,EUR,419.0,22.0,1577.0,88.0,2025Q1
2025-01-05,LVA,LATVIA,EUR,34.0,,183.0,,2025Q1
2025-01-05,LTU,LITHUANIA,EUR,42.0,2.0,207.0,10.0,2025Q1
2025-01-05,MLT,MALTA,EUR,3.0,1.0,7.0,1.0,2025Q1
2025-01-05,MUS,MAURITIUS,AFR,5.0,0.0,10.0,0.0,2025Q1
2025-01-05,MEX,MEXICO,AMR,18.0,0.0,30.0,2.0,2025Q1
2025-01-05,NZL,NEW ZEALAND,WPR,82.0,4.0,423.0,19.0,2025Q1
2025-01-05,MKD,NORTH MACEDONIA,EUR,1.0,,1.0,,2025Q1
2025-01-05,PAN,PANAMA,AMR,12.0,0.0,25.0,1.0,2025Q1
2025-01-05,PER,PERU,AMR,163.0,44.0,163.0,44.0,2025Q1
2025-01-05,POL,POLAND,EUR,89.0,,227.0,2.0,2025Q1
2025-01-05,PRT,PORTUGAL,EUR,37.0,3.0,133.0,10.0,2025Q1
2025-01-05,RUS,RUSSIAN FEDERATION,EUR,2340.0,,10719.0,,2025Q1
2025-01-05,LCA,SAINT LUCIA,AMR,0.0,0.0,0.0,0.0,2025Q1
2025-01-05,SGP,SINGAPORE,WPR,117.0,2.0,494.0,6.0,2025Q1
2025-01-05,SVK,SLOVAKIA,EUR,9.0,,64.0,1.0,2025Q1
2025-01-05,ESP,SPAIN,EUR,7.0,,14.0,,2025Q1
2025-01-05,SUR,SURINAME,AMR,0.0,0.0,1.0,0.0,2025Q1
2025-01-05,SWE,SWEDEN,EUR,,3.0,,20.0,2025Q1
2025-01-05,GBR,THE UNITED KINGDOM,EUR,569.0,22.0,569.0,22.0,2025Q1
2025-01-05,TCA,TURKS AND CAICOS ISLANDS,AMR,0.0,0.0,0.0,0.0,2025Q1
2025-01-05,UKR,UKRAINE,EUR,0.0,0.0,0.0,0.0,2025Q1
2025-01-05,USA,UNITED STATES OF AMERICA,AMR,1462.0,,4420.0,,2025Q1
2025-01-05,URY,URUGUAY,AMR,24.0,1.0,110.0,6.0,2025Q1
2024-12-29,ARG,ARGENTINA,AMR,18.0,,181.0,,2024Q4
2024-12-29,BIH,BOSNIA AND HERZEGOVINA,EUR,0.0,0.0,4.0,0.0,2024Q4
2024-12-29,BRA,BRAZIL,AMR,575.0,200.0,2536.0,782.0,2024Q4
2024-12-29,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-29,BRN,BRUNEI DARUSSALAM,WPR,10.0,0.0,34.0,1.0,2024Q4
2024-12-29,CHL,CHILE,AMR,36.0,3.0,173.0,15.0,2024Q4
2024-12-29,CZE,CZECHIA,EUR,27.0,2.0,224.0,18.0,2024Q4
2024-12-29,DNK,DENMARK,EUR,119.0,,548.0,,2024Q4
2024-12-29,DMA,DOMINICA,AMR,0.0,,0.0,,2024Q4
2024-12-29,ECU,ECUADOR,AMR,8.0,0.0,65.0,3.0,2024Q4
2024-12-29,EST,ESTONIA,EUR,59.0,5.0,318.0,32.0,2024Q4
2024-12-29,FRA,FRANCE,EUR,15.0,18.0,56.0,55.0,2024Q4
2024-12-29,GRC,GREECE,EUR,515.0,5.0,2193.0,35.0,2024Q4
